,at_bat_count,batter,double,double_play,field_out,home_run,single,strikeout,triple,walk
72,601,592626,0.03654485,0.009966777,0.448504983,0.064784053,0.106312292,0.227574751,0.004983389,0.101328904
73,387,657077,0.056701031,0.025773196,0.50257732,0.033505155,0.167525773,0.12628866,0.005154639,0.082474227
74,735,457759,0.063945578,0.023129252,0.423129252,0.032653061,0.17414966,0.155102041,0.001360544,0.126530612
75,759,641355,0.044795784,0.018445323,0.409749671,0.057971014,0.152832675,0.198945982,0.006587615,0.110671937
76,725,571970,0.033103448,0.016551724,0.336551724,0.063448276,0.117241379,0.28,0.004137931,0.148965517
77,312,608369,0.073717949,0.009615385,0.448717949,0.025641026,0.147435897,0.185897436,0,0.108974359
78,443,572041,0.033783784,0.02027027,0.461711712,0.036036036,0.146396396,0.211711712,0.006756757,0.083333333
79,45,628317,0.044444444,0,0.511111111,0,0.222222222,0.222222222,0,0
80,755,453568,0.059602649,0.01192053,0.447682119,0.045033113,0.157615894,0.190728477,0.013245033,0.074172185
81,726,596115,0.063273728,0.013755158,0.37826685,0.057771664,0.137551582,0.265474553,0.008253095,0.07565337
82,556,621311,0.057657658,0.010810811,0.398198198,0.043243243,0.142342342,0.268468468,0.009009009,0.07027027
83,761,571448,0.052631579,0.015789474,0.486842105,0.05,0.152631579,0.160526316,0.002631579,0.078947368
84,588,502517,0.054421769,0.020408163,0.50170068,0.037414966,0.183673469,0.136054422,0.00170068,0.06462585
85,643,435622,0.052877138,0.035769829,0.424572317,0.026438569,0.133748056,0.236391913,0.01244168,0.077760498
86,411,641857,0.046116505,0.019417476,0.366504854,0.033980583,0.148058252,0.291262136,0.002427184,0.09223301
87,347,547172,0.040345821,0.025936599,0.495677233,0.005763689,0.16426513,0.155619597,0.017291066,0.095100865
88,66,592351,0.014925373,0.014925373,0.343283582,0,0.044776119,0.552238806,0,0.029850746
89,467,592444,0.049356223,0.021459227,0.377682403,0.034334764,0.111587983,0.306866953,0.008583691,0.090128755
90,164,605612,0.036585366,0.018292683,0.426829268,0.012195122,0.213414634,0.25,0.018292683,0.024390244
91,354,408234,0.036723164,0.036723164,0.412429379,0.014124294,0.203389831,0.206214689,0,0.09039548
92,742,592206,0.076819407,0.017520216,0.412398922,0.029649596,0.150943396,0.221024259,0.006738544,0.08490566
93,380,621514,0.052493438,0.010498688,0.42519685,0.023622047,0.131233596,0.236220472,0.005249344,0.115485564
95,645,592348,0.054347826,0.02484472,0.374223602,0.027950311,0.144409938,0.277950311,0.007763975,0.088509317
96,577,600869,0.041666667,0.006944444,0.416666667,0.024305556,0.126736111,0.269097222,0.001736111,0.112847222
97,311,543308,0.038709677,0.022580645,0.435483871,0.025806452,0.119354839,0.3,0,0.058064516
98,268,474568,0.074349442,0.022304833,0.483271375,0.014869888,0.130111524,0.200743494,0,0.074349442
99,657,664058,0.056316591,0.02587519,0.538812785,0.00913242,0.190258752,0.098934551,0.00608828,0.074581431
100,642,545361,0.048211509,0.00777605,0.360808709,0.074650078,0.118195956,0.202177294,0.00311042,0.185069984
102,499,660271,0.046184739,0.012048193,0.359437751,0.060240964,0.152610442,0.265060241,0.004016064,0.100401606
103,368,457708,0.032608696,0.02173913,0.331521739,0.046195652,0.14673913,0.298913043,0.002717391,0.119565217
104,578,592743,0.044982699,0.051903114,0.551903114,0.019031142,0.190311419,0.093425606,0.005190311,0.043252595
105,499,405395,0.042084168,0.034068136,0.533066132,0.044088176,0.140280561,0.122244489,0,0.084168337
106,723,594777,0.051175657,0.011065007,0.42461964,0.053941909,0.105117566,0.242047026,0.002766252,0.109266943
107,248,650859,0.052419355,0.02016129,0.415322581,0.012096774,0.149193548,0.237903226,0.012096774,0.100806452
108,248,607345,0.052631579,0.032388664,0.481781377,0.020242915,0.165991903,0.129554656,0,0.117408907
109,704,542340,0.039716312,0.014184397,0.405673759,0.029787234,0.163120567,0.245390071,0.002836879,0.09929078
110,716,641820,0.047486034,0.030726257,0.410614525,0.053072626,0.148044693,0.230446927,0.00698324,0.072625698
111,138,642082,0.043478261,0.007246377,0.355072464,0.043478261,0.094202899,0.333333333,0,0.123188406
112,604,600524,0.052980132,0.01986755,0.407284768,0.052980132,0.13410596,0.243377483,0,0.089403974
113,370,596105,0.054054054,0.016216216,0.467567568,0.035135135,0.12972973,0.205405405,0.005405405,0.086486486
114,174,623993,0.040462428,0.005780347,0.462427746,0.046242775,0.179190751,0.190751445,0.005780347,0.069364162
115,498,448801,0.03006012,0.01002004,0.340681363,0.034068136,0.110220441,0.378757515,0,0.096192385
116,341,593643,0.038235294,0.011764706,0.555882353,0.017647059,0.244117647,0.1,0.002941176,0.029411765
117,288,665487,0.038194444,0.013888889,0.291666667,0.055555556,0.180555556,0.3125,0.017361111,0.090277778
118,516,622534,0.044487427,0.01934236,0.506769826,0.01934236,0.143133462,0.18762089,0.011605416,0.067698259
119,835,592518,0.041916168,0.040718563,0.437125749,0.052694611,0.149700599,0.191616766,0.00239521,0.083832335
120,754,543333,0.037184595,0.025232404,0.468791501,0.027888446,0.168658699,0.203187251,0.002656042,0.066401062
121,612,592669,0.039279869,0.018003273,0.43207856,0.078559738,0.099836334,0.266775777,0.001636661,0.063829787
122,526,614177,0.02661597,0.034220532,0.380228137,0.066539924,0.150190114,0.252851711,0,0.089353612
123,199,642336,0.035175879,0.030150754,0.442211055,0.035175879,0.120603015,0.256281407,0.005025126,0.075376884
124,101,649966,0.01980198,0.03960396,0.495049505,0.01980198,0.079207921,0.227722772,0,0.118811881
0,26,663978,0,0,0.615384615,0,0.038461538,0.346153846,0,0
