,Name,OPG
228,Jace Fry,2.0
229,Paul Fry,3.0
230,Carson Fulmer,4.0
231,Drew Gagnon,4.0
232,Giovanny Gallegos,4.0
233,Zac Gallen,15.0
235,John Gant,3.0
236,Edgar Garcia,3.0
237,Jarlin Garcia,3.0
238,Luis Garcia,3.0
239,Yimi Garcia,3.0
240,Amir Garrett,3.0
241,Reed Garrett,3.0
242,Ryan Garton,4.0
243,Kevin Gausman,15.0
244,Sam Gaviglio,6.0
245,Cory Gearrin,2.0
246,Domingo German,16.0
247,Ian Gibaut,6.0
248,Kyle Gibson,16.0
249,Ken Giles,3.0
250,Sean Gilmartin,6.0
251,Lucas Giolito,18.0
252,Mychal Givens,4.0
253,Tyler Glasnow,18.0
254,Zack Godley,9.0
255,Jeanmar Gomez,3.0
256,Tony Gonsolin,12.0
257,Marco Gonzales,18.0
258,Chi Chi Gonzalez,14.0
259,Gio Gonzalez,15.0
261,Nick Goody,4.0
262,Trevor Gott,3.0
263,Matt Grace,3.0
264,Jon Gray,17.0
265,Sonny Gray,16.0
266,Chad Green,4.0
267,Shane Greene,3.0
268,Luke Gregerson,3.0
269,Zack Greinke,19.0
270,Robert Gsellman,4.0
271,Reymin Guduan,3.0
272,Deolis Guerra,1.0
273,Javy Guerra,4.0
274,Junior Guerra,4.0
275,Tayron Guerrero,3.0
276,Taylor Guerrieri,4.0
277,Jedd Gyorko,0.0
278,Josh Hader,4.0
279,David Hale,6.0
280,Cole Hamels,18.0
281,J.D. Hammer,3.0
282,Brad Hand,3.0
283,J.A. Happ,15.0
284,Blaine Hardy,4.0
285,Ryne Harper,3.0
287,Will Harris,3.0
288,Donnie Hart,5.0
289,Geoff Hartlieb,4.0
290,Joe Harvey,3.0
291,Matt Harvey,15.0
292,Andrew Heaney,15.0
293,Taylor Hearn,0.0
294,Jeremy Hellickson,13.0
295,Ryan Helsley,5.0
296,Heath Hembree,3.0
297,Kyle Hendricks,18.0
298,Liam Hendriks,4.0
299,Jimmy Herget,3.0
300,Darwinzon Hernandez,5.0
301,David Hernandez,3.0
302,Elieser Hernandez,9.0
303,Felix Hernandez,14.0
304,Kelvin Herrera,3.0
305,David Hess,13.0
306,Jordan Hicks,3.0
307,Trevor Hildenberger,2.0
308,Rich Hill,16.0
309,Tim Hill,2.0
310,Yoshihisa Hirano,2.0
311,Jeff Hoffman,14.0
313,Jonathan Holder,3.0
314,Derek Holland,6.0
315,Greg Holland,3.0
316,Clay Holmes,4.0
317,Adrian Houser,7.0
318,Sam Howard,3.0
319,Wei-Chieh Huang,4.0
320,Dakota Hudson,16.0
321,Daniel Hudson,3.0
322,Jared Hughes,3.0
323,Tommy Hunter,3.0
324,Raisel Iglesias,3.0
325,Cole Irvin,11.0
326,Edwin Jackson,11.0
327,Jay Jackson,4.0
328,Luke Jackson,3.0
329,Josh James,4.0
330,Kenley Jansen,3.0
331,Jeremy Jeffress,3.0
332,Dan Jennings,2.0
333,Williams Jerez,4.0
334,Jake Jewell,4.0
335,Eduardo Jimenez,3.0
336,Joe Jimenez,3.0
337,Brian Johnson,6.0
339,DJ Johnson,2.0
340,Nate Jones,2.0
341,Caleb Joseph,2.0
342,Jakob Junis,17.0
343,Ariel Jurado,11.0
344,Tommy Kahnle,3.0
345,Nate Karns,4.0
346,Keone Kela,2.0
347,Brad Keller,18.0
348,Mitch Keller,12.0
349,Shawn Kelley,3.0
350,Trevor Kelley,3.0
351,Joe Kelly,3.0
352,Merrill Kelly,17.0
353,Ian Kennedy,3.0
354,Clayton Kershaw,20.0
355,Dallas Keuchel,19.0
356,Yusei Kikuchi,16.0
357,Craig Kimbrel,3.0
358,Nick Kingham,7.0
359,Tyler Kinley,3.0
360,Brandon Kintzler,3.0
361,Andrew Kittredge,4.0
362,Branden Kline,4.0
363,Corey Kluber,15.0
365,Matt Koch,7.0
366,Adam Kolarek,2.0
367,Travis Lakins,4.0
368,Peter Lambert,15.0
369,Dinelson Lamet,14.0
370,Eric Lauer,15.0
371,Derek Law,3.0
372,Mike Leake,19.0
373,Wade LeBlanc,15.0
374,Jose Leclerc,3.0
375,Dominic Leone,3.0
376,Jon Lester,17.0
377,Francisco Liriano,3.0
378,Zack Littell,4.0
379,Ben Lively,3.0
380,Jonathan Loaisiga,10.0
381,Walker Lockett,12.0
382,Jorge Lopez,9.0
383,Pablo Lopez,16.0
384,Reynaldo Lopez,17.0
